"","x","y","Temperature","Temperature_seasonality","Rain_seasonality","Precipitation","Humanpopdens","Human_footprint","PET","Ec.Het","EVI","Host_richness","Degree_of_generalism"
"1",-0.625,51.875,-0.449739087016642,-0.0269671070298673,-1.39347638500279,-0.576048348003824,0.325455903799158,2.70886846096064,-1.08419336198179,-0.0963671019931141,0.579488440999681,-0.90818715600911,0.80313931705108
"2",-1.625,47.375,-0.219635143020309,-0.0960113910301372,-0.950407447003795,-0.37885202299844,0.217548217812463,1.29258559896721,-0.781502385989366,0.0592930150055528,0.867830936996497,-0.772659196008194,1.88425469907978
"3",-1.875,39.875,-0.237623725020023,0.383389022971737,-0.721320666004315,-0.797150215009861,-0.225024404132969,-0.601846760023992,-0.162264540004867,-0.663235224988259,-0.901421440983968,-0.733936921007933,-1.36501921800647
"4",-100.875,23.375,0.480420504968534,-0.607679860032137,0.348590120993256,-0.974636666014708,-0.219899198133601,-0.87143882102274,1.32607252195788,-0.269507103991631,-1.00443559398283,-0.256362202004707,-1.04280698599792
"5",-100.875,23.625,0.331265179970911,-0.652050774032311,0.328450623993302,-1.04069402001651,-0.216522310134018,-0.840285516022885,1.25006341495978,-0.316270872991231,-1.08426524098195,-0.24345477700462,-0.77392010899078
"6",-103.125,40.625,-0.481968630016129,1.25402791197514,1.07109458199162,-0.947218473013959,-0.19014881513727,-0.172449272025985,0.100214036988563,-0.961154648985708,-1.0249378389826,-0.204732502004359,0.207108173035259
"7",-104.625,33.625,0.215088920972763,0.813816816973419,0.774036998992291,-1.10323872201822,-0.229472621132421,-0.737186008023364,1.00061132996602,-0.925796677986011,-1.61848645297605,-0.191825077004272,-0.51808652998399
"8",-105.375,35.875,-0.787024999011267,0.482363097972124,0.575159463992742,-0.795979332009829,-0.222649166133262,-0.770462363023209,-0.157063769004997,-0.425082177990299,-0.797871487985112,-0.120834241003792,-0.902704793994199
"9",-106.375,35.375,-0.220384667020297,0.871225895973644,0.147195148993714,-1.10499504801827,-0.21699262113396,-0.261051859025574,0.418254056980602,-0.188297826992327,-1.67218403897546,-0.0821119660035307,-0.746230836990045
"10",-106.625,35.625,-0.431750505016929,0.773617367973262,0.00621866899403351,-0.988296975015081,-0.224557634133027,-0.799908721023072,0.240447482985053,-0.250573479991793,-1.38538323197862,-0.107926816003705,-0.596543350986072
"11",-107.875,34.875,-0.562167725014851,0.740133414973131,0.69096157299248,-1.10001879201813,-0.229730095132389,-0.803160603023057,0.261068134984537,-0.650916963988365,-1.63460083097587,-0.166010228004097,-0.76259806699048
"12",-107.875,35.125,-0.517196270015567,0.815051420973424,0.612921021992657,-1.13719434901915,-0.196257005136516,-0.562832907024173,0.282187993984008,-0.573357542989029,-1.57034634297658,-0.172463940004141,-0.744844316990009
"13",-108.875,33.875,-0.735307826012092,0.460308582972037,0.791659058992251,-0.897651064012606,-0.229334875132438,-1.1391047500215,0.250309313984806,-0.0295291299936865,-1.12215956098153,-0.133741666003879,-0.987476438996449
"14",-113.375,49.625,-1.02237561300752,1.05338608197436,0.127055651993759,-0.928094040013437,-0.218109950133822,-0.462819400024637,-0.722457702990844,-0.370790583990764,-0.763297969985493,-0.230547352004533,-0.393962844980695
"15",-114.375,51.875,-1.33043007900261,1.33910334097547,0.638095392992599,-0.837643276010967,-0.225819354132871,-0.583412316024077,-0.969824415984653,-0.592519281988865,-0.408686667989409,-0.22409363900449,0.0736136860317158
"16",-117.125,43.375,-0.675345886013047,0.769988380973248,-0.655867301004464,-1.08674877701777,-0.229631283132401,-0.916130374022533,-0.0535827760075873,0.131748844004932,-1.5870301939764,-0.320899326005143,0.0100715120300292
"17",-117.375,52.875,-1.85209895699429,0.840285975973523,-0.109583440005704,-0.672646251006462,-0.229709581132392,-1.25370547702097,-1.4474427569727,1.41604161399393,-1.5866392179764,-0.359621600005405,0.0736136860317158
"18",-118.625,36.625,-1.05610420400698,0.156334151970849,1.02326327699173,-0.513893940002127,-0.229676619132396,-1.13090619502154,-0.714405830991046,1.70529263299146,-1.06324530998218,-0.249908489004664,0.10995444003268
"19",-126.625,55.125,-1.49082826900005,1.05937203997438,-0.859779710004001,-0.761145542008878,-0.229738315132388,-1.32372512402064,-1.21785862097844,-0.24509869799184,-0.726027553985905,-0.546779261006669,0.0327170200306303
"20",-145.375,63.125,-2.3602763969862,2.25098922297904,1.65514000099029,-1.20422743902098,-0.229775469132384,-1.21481956802115,-1.60530382296875,0.537110878001461,-1.83828538697362,-0.708122071007758,0.698169731048293
"21",-146.375,64.875,-2.15415722898948,2.81482905698124,0.532363032992839,-1.13007147301895,-0.229772596132384,-1.06703507702183,-1.52392209897078,-0.493060729989717,-0.938559643983558,-0.733936921007933,-0.119435852973408
