"","SR","X","poligons","x","y","PSV","RPD"
"359",3.46410161513775,104229,603903,-44.375,-14.875,0.405874311549417,0.07358685920723
"362",2.23606797749979,104614,608178,-55.625,-15.625,0.55164965938402,0.333665328310636
"363",2,104672,608236,-41.125,-15.625,0.339287499506544,0.0870590397231559
"364",2,104673,608237,-40.875,-15.625,0.339287499506544,0.0870590397231559
"365",2.23606797749979,104751,609618,-55.625,-15.875,0.55164965938402,0.333665328310636
"367",2.23606797749979,105340,615424,-44.125,-16.875,0.300832631014651,0.0769261343106357
"368",2,105369,616762,-69.625,-17.125,0.38940398628404,-0.014075901276844
"369",1.4142135623731,105497,618201,-69.875,-17.375,0.0200124361483667,-0.093110415129461
"371",2.23606797749979,105597,618301,-44.875,-17.375,0.401927489352999,0.0991449483106357
"373",3.60555127546399,105631,619647,-68.375,-17.625,0.245351639490072,-0.309191833899677
"374",3.3166247903554,105758,621087,-68.375,-17.875,0.243332159421648,-0.255570165152389
"377",1.73205080756888,105999,622642,-39.625,-18.125,0.466745788076315,0.0290352434319867
"378",2.23606797749979,106005,623965,-68.875,-18.375,0.239032651091406,-0.163906665689364
"379",1.4142135623731,106053,624013,-56.875,-18.375,0.0640621850736689,0.126738311870539
"380",1.4142135623731,106147,625425,-63.875,-18.625,0.475291290932965,-0.033637003129461
"382",1.4142135623731,106617,631167,-68.375,-19.625,0.550002804704216,0.172121823870539
"384",1.73205080756888,107218,638366,-68.625,-20.875,0.0524019372869144,-0.146499383568013
"386",2.44948974278318,107896,645659,-45.375,-22.125,0.408500686317062,-0.00140793944890266
"388",2.44948974278318,108012,647099,-45.375,-22.375,0.32958090022472,0.184819658551097
"393",1.73205080756888,110007,678677,-70.875,-27.875,0.194743138866897,-0.134998958568013
"396",3,110362,683081,-49.875,-28.625,0.36836855120041,-0.0621603724940527
"397",1.4142135623731,110489,685908,-63.125,-29.125,0.644385747361427,0.047419940870539
"398",1.4142135623731,110490,685909,-62.875,-29.125,0.644385747361427,0.047419940870539
"399",1.73205080756888,110547,687319,-70.375,-29.375,0.217150459389031,-0.125253776568013
"400",3.74165738677394,110773,690254,-56.625,-29.875,0.423029449759683,-0.0277179618111455
"401",2.44948974278318,110888,693077,-70.875,-30.375,0.228115189064234,-0.194845496448903
"402",1.4142135623731,110919,693108,-63.125,-30.375,0.38115535101372,-0.071821977129461
"403",1.4142135623731,111136,697397,-70.875,-31.125,0.458496117510319,0.060007356870539
"406",1.4142135623731,111691,707484,-69.125,-32.875,0.458496117510319,0.060007356870539
"407",2,111765,708922,-69.625,-33.125,0.430320238180497,0.032916864723156
"408",1.73205080756888,111767,708924,-69.125,-33.125,0.357158081077363,-0.0447400805680133
"411",1.4142135623731,112138,716124,-69.125,-34.375,0.399804123687042,0.0688169868705391
"412",1.4142135623731,112202,717557,-70.875,-34.625,0.399804123687042,0.0688169868705391
"414",1.4142135623731,112386,721873,-71.875,-35.375,0.472646567339468,0.138501268870539
"415",2,112419,721906,-63.625,-35.375,0.489427060562993,0.167400791723156
"418",1.4142135623731,112703,729078,-70.625,-36.625,0.0986679598605125,-0.034892154129461
"421",1.4142135623731,113154,739149,-72.875,-38.375,0.492429961401691,-0.00504479712946099
"426",3.60555127546399,113699,754998,-70.625,-41.125,0.450180661209915,0.203604842100323
"427",1.4142135623731,114450,788113,-71.875,-46.875,NA,-0.047338710129461
