,x,y,Temperature,Temperature_seasonality,rainseasonality,Precipitation,Humanpopdens,Human_footprint,PET,Ec.Het,EVI,Host_richness,Degree_of_generalism
155,15.625,50.875,-0.170974235,0.088937303,-0.335897601,-0.272745654,0.16265368,1.222057153,-0.63963558,-1.404483548,0.447824276,-0.668985886,1.290728221
156,18.875,68.375,-1.025615913,0.161632722,-0.243610762,-0.658975815,-0.159457373,-0.583557485,-1.446510033,NA,NA,-1.011511147,1.290728221
157,19.125,52.625,0.083383408,0.35772708,-0.176493061,-0.575764448,0.186412232,1.403376301,-0.425930446,-1.394752603,0.128042722,-0.684209231,0.986881928
158,19.125,68.375,-1.093202372,0.225139948,-0.285559325,-0.623183805,-0.159557872,-0.651775739,-1.450133457,NA,NA,-1.011511147,1.290728221
159,19.375,43.875,0.101551811,-0.013668701,-1.158089443,0.133908196,-0.132812079,0.236886569,-0.203866128,-0.660687332,0.636778744,-0.699432576,-0.040665605
160,19.625,43.875,0.174952159,0.005783902,-1.118937451,0.066267364,-0.068809852,0.439026896,-0.153485626,-0.611608932,0.749773962,-0.684209231,-0.040665605
161,20.875,48.625,0.055767435,0.223729071,-0.120561643,-0.387805844,-0.073624549,0.43951872,-0.224471007,-0.603781566,0.648403427,-0.699432576,-0.677249089
162,22.625,44.625,0.39006605,0.259318435,-0.626740974,-0.421777921,0.312628059,0.903571644,0.097005563,-0.159534621,0.274986585,-0.554810799,-0.84362479
163,23.375,43.125,0.103005283,0.126748797,-0.733010668,-0.330882393,-0.089831254,0.341120112,-0.071277656,-0.367273165,0.623681036,-0.608092507,-1.345239232
164,26.625,39.875,0.725091402,-0.097122054,0.944931866,-0.292866021,-0.12223894,0.240510924,0.476654882,0.029792366,0.17775338,-0.448247385,-0.234109022
165,30.375,36.875,0.583377859,0.053700659,1.221792384,-0.445942582,-0.055567446,0.341870989,0.559495433,-0.350565321,-0.546771421,-0.257955573,-0.86831635
166,33.875,67.875,-1.097562789,0.514316611,-0.358270169,-0.510651301,-0.14109266,-0.391555743,-1.418331117,NA,NA,-0.912559405,1.290728221
167,33.875,68.125,-1.016168343,0.483735859,-0.333101031,-0.557767336,-0.132346301,-0.486350018,-1.406696721,NA,NA,-0.935394422,1.290728221
168,34.125,67.875,-1.008900982,0.488991375,-0.296745609,-0.572023475,-0.153910315,-0.58300459,-1.397653672,NA,NA,-0.920171077,1.290728221
169,34.125,68.125,-1.013261399,0.459750957,-0.291152467,-0.577887703,-0.16101902,-0.808870111,-1.410009368,NA,NA,-0.943006095,1.290728221
170,35.125,38.125,0.17277195,0.145883953,0.354855408,-0.749871342,-0.116967733,0.396537299,0.311799442,-0.345483675,-1.002549144,-0.250343901,0.155623917
171,35.375,37.875,-0.002371455,0.179250903,0.407990255,-0.544117841,-0.138537972,0.1303188,0.119841267,0.105109342,-1.143538998,-0.311237281,-0.86831635
172,4.375,51.125,0.325386536,-0.383547507,-1.283935133,-0.178311369,1.752506818,3.25312921,-0.470655677,-0.173034208,0.604301538,-0.714655921,-0.440972608
173,40.125,44.125,0.092830977,0.025483126,-1.026650611,0.173340071,-0.130227105,-0.076894448,-0.224986661,0.520745697,0.825210987,-0.478694075,-0.322922131
174,40.625,44.125,0.198207715,0.076944852,-0.847670074,0.074052631,-0.132684518,-0.020789334,-0.127771132,0.432606455,0.837077735,-0.478694075,-0.233373117
175,44.625,40.375,-0.077952011,0.363141178,0.270958282,-0.694868932,0.185505324,1.200759793,-0.008899929,0.752017348,-0.434819861,-0.265567246,-0.3821662
176,44.625,40.625,-0.43041903,0.206727726,0.324093129,-0.512673448,-0.095356081,0.829208593,-0.291570904,0.688553499,0.035703995,-0.417800695,-0.237444905
177,44.875,41.125,0.19530077,0.205740112,0.366041692,-0.496192946,-0.077505632,0.262726981,0.168720192,0.450775814,0.431713055,-0.34168397,-0.010183492
178,46.125,40.125,-0.194956527,0.211260308,0.304517132,-0.474960398,-0.122630301,0.281278511,-0.233535338,0.522278346,0.142061072,-0.265567246,-0.405688763
179,46.375,39.125,0.117540005,0.399012717,0.237399431,-0.668985445,-0.047952983,0.312038666,0.17581114,0.841501518,0.024395187,-0.181838849,0.083892234
180,6.375,46.625,-0.016179441,-0.169799696,-1.325883697,0.560480198,-0.030893141,1.387795614,-0.406773297,0.916600238,0.608500773,-0.668985886,-0.673684037
181,6.625,46.625,0.139342089,-0.136820737,-1.289528275,0.189315844,0.792892593,1.900920819,-0.277577987,1.332922936,0.458425936,-0.653762541,-0.96573347
182,7.375,46.125,-0.681142991,-0.318365288,-1.46291567,1.226171135,-0.005877107,0.548318218,-1.031145198,1.886539267,-0.658104723,-0.668985886,-0.964396705
183,8.625,45.625,0.463466399,0.057968561,-0.836483791,0.32297979,0.259583917,3.02089438,0.071971085,0.55845259,0.374165836,-0.554810799,-1.336764824
184,8.875,47.875,0.116813269,-0.129360585,-0.83368722,0.189314227,0.226882567,1.745388021,-0.331355241,-0.162707831,0.857714384,-0.699432576,-0.766175772
185,8.875,61.375,-1.060499246,0.06604583,-0.598775265,-0.118152483,-0.158750356,-0.37354109,-1.24396877,0.728535942,-1.140551676,-0.912559405,0.845375564
186,9.125,47.875,0.13716188,-0.103964806,-0.657503254,0.132290478,0.123102408,1.488095191,-0.34144088,0.192054944,0.894305904,-0.684209231,-0.766175772
187,9.125,48.875,0.234544521,-0.13692627,-0.632334116,-0.299235786,2.218990305,3.275944592,-0.293082224,-0.764344941,0.375280923,-0.775549301,-1.332976979
188,9.125,50.625,0.098644866,-0.143346041,-1.219614003,-0.198330629,-0.029659277,0.64383346,-0.447899975,-0.940986028,1.019028187,-0.760325956,-1.324880512
189,9.625,53.875,0.1073657,-0.239073739,-0.973515764,-0.164560766,0.198754415,1.448168586,-0.615573691,-0.417620849,1.22794549,-0.684209231,-0.975654761
190,99.125,49.125,-1.560493698,2.146806701,3.171002295,-1.033477521,-0.162005706,-0.206939871,-0.757389063,-1.478101669,-1.088977514,-0.296013936,-0.852634392
