"","overall","names"
"1",10.0122412385746,"y"
"2",100,"X"
"3",27.264983345456,"x"
"4",13.0478655811154,"temperatureseasonality"
"5",9.44695720980032,"rainseasonality"
"6",1.72865264098222,"pet"
"7",0,"humanpopdens"
"8",10.9220523375933,"Host_richness"
"9",20.0822636530291,"Generalism_degree"
"10",3.26068126416173,"footpr"
"11",18.8718876251882,"EVI"
"12",13.1341185497556,"Ec.Het"
"13",23.9452800762934,"annualtemperature"
"14",26.2319041694551,"annualrainfall"
"15",16.3044144943769,"y"
"16",100,"X"
"17",55.5007701637876,"x"
"18",7.93107781430981,"temperatureseasonality"
"19",38.3539580712056,"rainseasonality"
"20",18.7361989893584,"pet"
"21",0,"humanpopdens"
"22",22.0685398002772,"Host_richness"
"23",41.1769757007953,"Generalism_degree"
"24",1.87455011375454,"footpr"
"25",12.3120191658587,"EVI"
"26",42.2673717612124,"Ec.Het"
"27",6.92094684327741,"annualtemperature"
"28",42.5828186833154,"annualrainfall"
"29",10.8081444444735,"y"
"30",100,"X"
"31",0.13250661290007,"x"
"32",1.46332843467215,"temperatureseasonality"
"33",16.7354566276389,"rainseasonality"
"34",21.3384386679045,"pet"
"35",0,"humanpopdens"
"36",22.9208922044972,"Host_richness"
"37",51.4648452521571,"Generalism_degree"
"38",17.6558277689274,"footpr"
"39",30.9500535120784,"EVI"
"40",30.5511235241592,"Ec.Het"
"41",41.534994594949,"annualtemperature"
"42",11.7801672642813,"annualrainfall"
"43",5.73270972783235,"y"
"44",100,"X"
"45",0.705234113827129,"x"
"46",16.2224366476721,"temperatureseasonality"
"47",15.8187619761987,"rainseasonality"
"48",7.36479982194472,"pet"
"49",0,"humanpopdens"
"50",23.5729383238413,"Host_richness"
"51",87.8004050058418,"Generalism_degree"
"52",2.85073625494207,"footpr"
"53",31.3702869219839,"EVI"
"54",26.3652787837119,"Ec.Het"
"55",33.1707048370086,"annualtemperature"
"56",25.6916547003172,"annualrainfall"
"57",12.9140268025143,"y"
"58",100,"X"
"59",18.22411363648,"x"
"60",4.48829460186328,"temperatureseasonality"
"61",0,"rainseasonality"
"62",28.476024055357,"pet"
"63",3.34366753402013,"humanpopdens"
"64",43.7082771612092,"Host_richness"
"65",34.097364423183,"Generalism_degree"
"66",12.0699630104276,"footpr"
"67",31.8383232384174,"EVI"
"68",37.7275045895517,"Ec.Het"
"69",62.2833398373615,"annualtemperature"
"70",22.1442381537561,"annualrainfall"
"71",36.2381142447521,"y"
"72",100,"X"
"73",7.5689431547992,"x"
"74",6.06011504874703,"temperatureseasonality"
"75",20.0230738303901,"rainseasonality"
"76",24.7358785529079,"pet"
"77",0,"humanpopdens"
"78",34.4720180682973,"Host_richness"
"79",47.5303809552258,"Generalism_degree"
"80",4.94287345907837,"footpr"
"81",15.7888806481189,"EVI"
"82",8.93301316458717,"Ec.Het"
"83",28.9236916299332,"annualtemperature"
"84",7.75357312887026,"annualrainfall"
"85",34.6060706126004,"y"
"86",100,"X"
"87",39.2273234523866,"x"
"88",0,"temperatureseasonality"
"89",23.7648519480481,"rainseasonality"
"90",14.5925977485356,"pet"
"91",27.2172469030203,"humanpopdens"
"92",7.54760649721516,"Host_richness"
"93",52.9487478465505,"Generalism_degree"
"94",15.9341981870565,"footpr"
"95",21.6150633160217,"EVI"
"96",61.4118675478046,"Ec.Het"
"97",25.773843254166,"annualtemperature"
"98",3.96503690955614,"annualrainfall"
"99",0,"y"
"100",100,"X"
"101",44.0852770863742,"x"
"102",4.8949631137431,"temperatureseasonality"
"103",8.50658927768142,"rainseasonality"
"104",50.1573336990584,"pet"
"105",26.9129358151068,"humanpopdens"
"106",11.8439546305901,"Host_richness"
"107",46.8868183575935,"Generalism_degree"
"108",17.0221913282659,"footpr"
"109",27.6507094615275,"EVI"
"110",43.8955237936688,"Ec.Het"
"111",51.2407761627402,"annualtemperature"
"112",6.97501028282494,"annualrainfall"
"113",8.93100938628495,"y"
"114",100,"X"
"115",30.8964671092827,"x"
"116",0,"temperatureseasonality"
"117",6.29376316693004,"rainseasonality"
"118",59.1006705211447,"pet"
"119",16.0484726438927,"humanpopdens"
"120",24.4841963555473,"Host_richness"
"121",79.8879124110371,"Generalism_degree"
"122",18.0510117203685,"footpr"
"123",24.558910520222,"EVI"
"124",45.9278647596394,"Ec.Het"
"125",65.1347556399316,"annualtemperature"
"126",9.03095280057523,"annualrainfall"
"127",30.5751255171429,"y"
"128",100,"X"
"129",59.9614455753902,"x"
"130",16.492931708735,"temperatureseasonality"
"131",10.5250747069132,"rainseasonality"
"132",0,"pet"
"133",19.8832744209509,"humanpopdens"
"134",14.1027408894735,"Host_richness"
"135",42.7279993085465,"Generalism_degree"
"136",30.0071838218287,"footpr"
"137",14.9161230525788,"EVI"
"138",45.6596766694807,"Ec.Het"
"139",16.1326276043154,"annualtemperature"
"140",26.4231432388248,"annualrainfall"
"141",12.8666501417182,"y"
"142",100,"X"
"143",35.132190882104,"x"
"144",23.7401746907569,"temperatureseasonality"
"145",10.6510480026671,"rainseasonality"
"146",14.7350006557719,"pet"
"147",0,"humanpopdens"
"148",24.9840704624565,"Host_richness"
"149",55.2023281275419,"Generalism_degree"
"150",10.0666720672231,"footpr"
"151",60.5856120161385,"EVI"
"152",47.8041752753942,"Ec.Het"
"153",29.8261569949139,"annualtemperature"
"154",52.6652943640736,"annualrainfall"
"155",22.9198809066625,"y"
"156",100,"X"
"157",24.8537402842564,"x"
"158",0,"temperatureseasonality"
"159",23.9725742337713,"rainseasonality"
"160",2.49974476485693,"pet"
"161",7.69583367660866,"humanpopdens"
"162",41.2286255108922,"Host_richness"
"163",47.6358065971905,"Generalism_degree"
"164",13.9102778419127,"footpr"
"165",56.9949554854352,"EVI"
"166",24.5920150697544,"Ec.Het"
"167",73.3429077260338,"annualtemperature"
"168",18.6070120263902,"annualrainfall"
"169",22.9490284373157,"y"
"170",100,"X"
"171",11.4639851366623,"x"
"172",23.3422761374074,"temperatureseasonality"
"173",3.43772323033638,"rainseasonality"
"174",5.12518817944378,"pet"
"175",0,"humanpopdens"
"176",29.7449148304998,"Host_richness"
"177",61.4958026191396,"Generalism_degree"
"178",4.85017588009358,"footpr"
"179",39.1849033393792,"EVI"
"180",21.806513445072,"Ec.Het"
"181",31.6527090173572,"annualtemperature"
"182",30.494838164603,"annualrainfall"
"183",0,"y"
"184",100,"X"
"185",68.3485467054684,"x"
"186",17.8055183526804,"temperatureseasonality"
"187",15.1098641819411,"rainseasonality"
"188",31.5307144523531,"pet"
"189",16.5968635075096,"humanpopdens"
"190",13.6217749934014,"Host_richness"
"191",67.7133259435255,"Generalism_degree"
"192",49.7565307841222,"footpr"
"193",30.4768647559692,"EVI"
"194",47.5719951290347,"Ec.Het"
"195",45.7493953351159,"annualtemperature"
"196",17.4876243584647,"annualrainfall"
"197",49.71666597819,"y"
"198",100,"X"
"199",34.3001474431171,"x"
"200",45.6958164544764,"temperatureseasonality"
"201",33.6566614727256,"rainseasonality"
"202",21.6242097214644,"pet"
"203",0,"humanpopdens"
"204",18.7153452668127,"Host_richness"
"205",38.1565575307713,"Generalism_degree"
"206",5.56428240289982,"footpr"
"207",46.0746508228372,"EVI"
"208",23.821295619039,"Ec.Het"
"209",33.610834372475,"annualtemperature"
"210",39.3136202980107,"annualrainfall"
"211",22.9877533381487,"y"
"212",100,"X"
"213",12.8470176550569,"x"
"214",17.1070439255264,"temperatureseasonality"
"215",8.31198233148639,"rainseasonality"
"216",18.3854983097575,"pet"
"217",0,"humanpopdens"
"218",17.6414484149548,"Host_richness"
"219",48.8698865768823,"Generalism_degree"
"220",12.826969646795,"footpr"
"221",54.6401523238058,"EVI"
"222",32.0340758278018,"Ec.Het"
"223",19.8562031553909,"annualtemperature"
"224",36.4413191152931,"annualrainfall"
"225",16.5135533871905,"y"
"226",100,"X"
"227",11.7504835218268,"x"
"228",0,"temperatureseasonality"
"229",15.7173403888824,"rainseasonality"
"230",2.67657608990033,"pet"
"231",5.39482689248736,"humanpopdens"
"232",12.8361256151824,"Host_richness"
"233",75.6395609657396,"Generalism_degree"
"234",15.5080404598251,"footpr"
"235",6.64146441526891,"EVI"
"236",39.5994569515778,"Ec.Het"
"237",43.6512752470192,"annualtemperature"
"238",16.6388580283272,"annualrainfall"
"239",15.2195494036832,"y"
"240",100,"X"
"241",28.8464984787508,"x"
"242",24.3198574096434,"temperatureseasonality"
"243",24.3898429091771,"rainseasonality"
"244",20.5390289062953,"pet"
"245",0,"humanpopdens"
"246",30.0431112938643,"Host_richness"
"247",50.2886507692574,"Generalism_degree"
"248",19.7610787497606,"footpr"
"249",33.5111294417733,"EVI"
"250",38.9283068343501,"Ec.Het"
"251",30.0887978745713,"annualtemperature"
"252",44.5576984705742,"annualrainfall"
"253",27.5450139489074,"y"
"254",100,"X"
"255",44.6147041038914,"x"
"256",28.837512730414,"temperatureseasonality"
"257",10.1470966638379,"rainseasonality"
"258",6.31020317852269,"pet"
"259",0,"humanpopdens"
"260",25.0950066749904,"Host_richness"
"261",52.6984360828486,"Generalism_degree"
"262",10.2449553781644,"footpr"
"263",45.1127601009598,"EVI"
"264",22.8938330652018,"Ec.Het"
"265",24.9686128977614,"annualtemperature"
"266",19.9126399168455,"annualrainfall"
"267",37.2574825342614,"y"
"268",68.3983728370379,"X"
"269",69.2306478058796,"x"
"270",22.0120571405107,"temperatureseasonality"
"271",34.4981670380328,"rainseasonality"
"272",22.2151463982635,"pet"
"273",0,"humanpopdens"
"274",15.5086287160776,"Host_richness"
"275",100,"Generalism_degree"
"276",19.6161534426797,"footpr"
"277",19.4361488029148,"EVI"
"278",18.1163018120679,"Ec.Het"
"279",12.3113415429861,"annualtemperature"
"280",40.3860165106065,"annualrainfall"
"281",19.4554486388104,"y"
"282",100,"X"
"283",53.8591993650999,"x"
"284",12.501849706141,"temperatureseasonality"
"285",0,"rainseasonality"
"286",15.9136049576186,"pet"
"287",36.4794286178773,"humanpopdens"
"288",21.4631004412792,"Host_richness"
"289",70.9105286274308,"Generalism_degree"
"290",46.1949878124467,"footpr"
"291",26.0750605703187,"EVI"
"292",42.6881033791521,"Ec.Het"
"293",13.8196644170897,"annualtemperature"
"294",31.442121550155,"annualrainfall"
"295",69.5107827770444,"y"
"296",100,"X"
"297",28.9723158135561,"x"
"298",33.3840363861935,"temperatureseasonality"
"299",41.0128689636023,"rainseasonality"
"300",27.0649497024672,"pet"
"301",0,"humanpopdens"
"302",36.8989985254739,"Host_richness"
"303",24.7595521252849,"Generalism_degree"
"304",13.611665684498,"footpr"
"305",19.2714781565903,"EVI"
"306",34.9903408640913,"Ec.Het"
"307",54.9960300162313,"annualtemperature"
"308",24.7746423680003,"annualrainfall"
"309",24.4731115103845,"y"
"310",100,"X"
"311",50.4646734265805,"x"
"312",12.5701890199576,"temperatureseasonality"
"313",22.4947927085188,"rainseasonality"
"314",0,"pet"
"315",25.6455579017915,"humanpopdens"
"316",6.9631661682072,"Host_richness"
"317",38.623111721764,"Generalism_degree"
"318",30.4586322290865,"footpr"
"319",29.5581938296017,"EVI"
"320",46.893984159586,"Ec.Het"
"321",22.1345591309672,"annualtemperature"
"322",16.090624638379,"annualrainfall"
"323",36.596921156142,"y"
"324",100,"X"
"325",52.5698756570081,"x"
"326",43.4389050245764,"temperatureseasonality"
"327",39.3174214351107,"rainseasonality"
"328",48.7805119621956,"pet"
"329",0,"humanpopdens"
"330",17.9051718019696,"Host_richness"
"331",78.9811603201082,"Generalism_degree"
"332",19.4236489677006,"footpr"
"333",45.8525541462872,"EVI"
"334",60.5258660766283,"Ec.Het"
"335",47.8466339520793,"annualtemperature"
"336",61.7700236068295,"annualrainfall"
"337",24.1933028414159,"y"
"338",100,"X"
"339",47.2800560512269,"x"
"340",17.4472504148166,"temperatureseasonality"
"341",14.9960898471126,"rainseasonality"
"342",0,"pet"
