"","Lineage_Name","parasiteGenus","Long","Lat"
"1","ABJAC02","Plasmodium",-45.3766666666667,-20.217
"2","ABSUP01","Haemoproteus",101.7,21.5833333333333
"3","ABUCUJ01","Haemoproteus",-50.4,-0.05
"4","ACAED02","Haemoproteus",116.357666666667,39.9626666666667
"5","ACAED02","Haemoproteus",115.433333333333,39.965
"6","ACAED02","Haemoproteus",115.433333333333,39.965
"7","ACAED02","Haemoproteus",116.357666666667,39.9626666666667
"8","ACAED02","Haemoproteus",115.433333333333,39.965
"9","ACAED02","Haemoproteus",115.433333333333,39.965
"10","ACAED02","Haemoproteus",115.433333333333,39.965
"11","ACAED02","Haemoproteus",115.433333333333,39.965
"12","ACAED02","Haemoproteus",115.433333333333,39.965
"13","ACAED02","Haemoproteus",115.433333333333,39.965
"14","ACAFLA01","Leucocytozoon",-146.99628,63.03881
"15","ACAFLA02","Leucocytozoon",-147.76819,63.32385
"16","ACAFLA02","Leucocytozoon",-146.99628,63.03881
"17","ACAFLA02","Leucocytozoon",-148.70917,65.28899
"18","ACAFLA02","Leucocytozoon",-147.76819,63.32385
"19","ACAFLA03","Leucocytozoon",-147.76819,63.32385
"20","ACAFLA03","Leucocytozoon",-146.99628,63.03881
"21","ACAFLA03","Leucocytozoon",-145.77577,63.07621
"22","ACAFLA03","Leucocytozoon",-148.70917,65.28899
"23","ACAFLA03","Leucocytozoon",-148.70917,65.28899
"24","ACAFLA03","Leucocytozoon",-145.05634,65.2303333333333
"25","ACAFLA03","Leucocytozoon",-146.678763,65.1634096666667
"26","ACAFLA03","Leucocytozoon",-148.70917,65.28899
"27","ACAFLA03","Leucocytozoon",-145.05634,65.2303333333333
"28","ACAFLA03","Leucocytozoon",-147.76819,63.32385
"29","ACAFLA03","Leucocytozoon",-148.70917,65.28899
"30","ACAFLA03","Leucocytozoon",-145.05634,65.2303333333333
"31","ACAFLA03","Leucocytozoon",-146.99628,63.03881
"32","ACAFLA03","Leucocytozoon",-145.77577,63.07621
"33","ACAFLA03","Leucocytozoon",-148.70917,65.28899
"34","ACAFLA03","Leucocytozoon",-146.99628,63.03881
"35","ACAFLA03","Leucocytozoon",-147.76819,63.32385
"36","ACAFLA04","Leucocytozoon",-147.76819,63.32385
"37","ACAFLA05","Leucocytozoon",-146.99628,63.03881
"38","ACAGR1","Plasmodium",20.4166666666667,50.1
"39","ACAGR1","Plasmodium",19.5,43.9
