"","x","y","aet","Ec.Het","Humanpopdens","Human_footprint","Prec.seas.","rad","shannon_diversity","trange","Temperature","precipitation","Host_richness","Degree_of_generalism"
"1",-0.375,53.875,-0.766366564939128,-0.0857130678598177,2.41881651758272,2.32840877095885,-1.21678091396884,-1.17194542922548,-0.93544507893901,-0.567690606093288,-0.393742096553814,-0.514288883154526,-0.883258180879066,1.82415229128523
"2",-0.625,51.875,-0.450746685095017,0.0273539082598196,1.37209916906738,3.12227199269861,-1.21798395493325,-1.14653269497722,1.14944046103957,-0.430105844242934,-0.361351201863307,-0.442004943023838,-0.889433937281634,-0.879179023057781
"3",-0.625,53.875,-0.79407471151373,-0.256266309429634,-0.133097910779166,1.9750057016111,-1.24056442709868,-1.17194542922548,-1.06948974506845,-0.565298667108512,-0.447683479157843,-0.497979921605766,-0.877082424476498,-0.193735674739634
"4",-0.875,53.875,-0.71138985614925,-0.21127709516405,0.00945157402017836,1.91633487238957,-1.25795519922542,-1.17194542922548,-0.562594802878589,-0.516491422462378,-0.430682346425756,-0.562642085736278,-0.883258180879066,-0.193735674739634
"5",-1.375,50.625,-0.349689301278433,0.962613918783126,0.452663297907382,1.93175563646214,-0.617721482766468,-1.15034460511446,0.73978433009328,-0.66559295015045,-0.291038690041721,-0.257934954890587,-0.914136962891908,-0.420075756338603
"6",-1.875,39.875,0.412161225992548,-0.68417523734396,-0.365136777778688,-0.44748621661988,-0.565335961265613,-0.659878834123136,0.510465972790661,0.761787625667399,-0.10377403465233,-0.709094921352543,-0.722688514412289,-0.703256099672772
"7",-100.875,23.375,-0.36943469343239,-0.446073295853301,-0.348962370353694,-0.738172189035645,0.576399587881252,0.0681960020893725,-0.2237699872434,0.0825698866177785,0.467489241827565,-0.809817100967748,-0.265682540622232,-0.399485794562601
"8",-104.125,21.875,1.26098338039749,-0.680028784864588,-0.359980208261972,-0.851979055283615,2.40071272256683,0.153328661821027,-0.818531315253221,0.260870484523761,1.03536877158408,-0.268671004955357,0.0554567923113223,-0.879179023014398
"9",-104.375,35.875,-0.635896983216508,-1.07543727945256,-0.379907470609372,-0.90461138728824,0.80188383600405,-0.424811042326777,-1.83113435299348,1.39481775020905,-0.189072697502815,-0.8236674250971,-0.12364014336316,-0.108529266712804
"10",-104.625,33.625,-1.47948725432119,-1.14484093498123,-0.379174706052397,-0.593414923950775,0.719737240847546,-0.368903026980615,-0.830179594567987,1.5318710792652,0.288740713595846,-0.914145282131431,-0.203924976596548,-0.563710907651442
"11",-105.125,35.875,-0.593803578069384,-0.136981281275312,-0.376316396990197,-0.429182255965891,0.658452731816336,-0.398127671366109,-1.58843890082155,1.38621286086971,-0.453123610341348,-0.746875983030826,-0.154518925376001,-0.58862866866067
"12",-105.375,35.875,0.199516013652845,-0.115375016759329,-0.357640870206489,-0.629294948949926,0.440630597456178,-0.390503851091632,-0.0548236490907378,1.07783635774514,-0.717881753138679,-0.659102627157848,-0.135991656168296,-0.453460416115121
"13",-106.375,35.375,-1.2532852288332,-0.0937331570793758,-0.339789636662638,-0.0800262218845138,0.0636724632775431,-0.379068120679917,-0.465898852098034,1.50631261666802,-0.126366885276288,-0.908654325228075,-0.0989371177528863,-0.56706121667849
"14",-106.625,33.875,-1.53037562178699,-1.12768841932401,-0.380017589336308,-0.806845677675191,0.786402691468484,-0.354926023144075,-1.26279434494157,1.63372225126467,0.0933452611674235,-0.994624680326823,-0.0865856049477496,-0.546181868746947
"15",-106.625,35.625,-0.734351550769205,0.379966772570495,-0.363663720796567,-0.661045301589706,-0.112826613085492,-0.389233214379219,0.182166907262523,1.48535711821937,-0.286374930066447,-0.795393094773869,-0.12364014336316,-0.639620162718129
"16",-107.875,34.875,-0.56388624387329,-0.354347375244628,-0.3799872552208,-0.664551624155449,0.64567307046211,-0.334595835745471,-0.730382869060546,1.44195133673767,-0.425529703095772,-0.926930196712367,-0.179221950986275,-0.505740441255977
"17",-107.875,35.125,-1.12869818141491,-0.147921544542643,-0.274351042784104,-0.405419771927935,0.616445276581372,-0.347302202869599,-0.367126323448437,1.51645511175609,-0.39845957958292,-0.957827073616302,-0.185397707388843,-0.38560204532941
"18",-108.875,33.875,0.32043648249107,-0.202100457034186,-0.378739999677598,-1.02678132168134,0.769583311935252,-0.277417183686897,0.53212710853265,1.37116031342253,-0.580478258976616,-0.766872900708702,-0.148343168973433,-0.61046939655249
"19",-113.125,51.375,-0.604652109566562,-0.939765415786373,-0.369772354226625,-0.211420336638416,0.666907028290624,-0.866992618246415,-1.73924930841124,1.87382741198669,-1.11039365481365,-0.829486200323039,-0.265682540622232,-0.569999999470572
"20",-115.125,51.625,-0.539320044708167,-0.494415881859094,-0.380106006707314,-0.982656088319967,0.491964974215736,-0.836497337148509,-0.104947398886887,1.28397179482872,-1.33590779749174,-0.612552425350327,-0.23480375860939,-0.730139450542631
"21",-118.625,36.625,0.0265314711245055,2.02479106330783,-0.379818493111407,-1.01794128059761,0.947823071360869,-0.531544526169448,1.23702398768106,0.665118536119922,-1.08177384043939,-0.402175016829377,-0.259506784219663,-0.491872388754921
"22",-119.125,46.625,0.302014852643549,2.00659585503515,-0.35694441686985,-0.295464546079365,-0.152554820888136,-0.734846400155489,-0.648446765128449,1.02397952495274,-0.238850040784451,-1.07895594381263,-0.315088591842778,-0.872471189340608
"23",-119.125,46.875,0.0639507152120321,1.34246051786574,-0.249019384759542,-0.0759400261861235,-0.0827316644698562,-0.745011493854791,-0.356275694134538,1.08639076239971,-0.295664704848206,-1.07625144265127,-0.321264348245347,-0.872471189340608
"24",-119.375,50.375,-0.0530186796476233,0.189449675430054,-0.0945370421383399,0.192407150644746,-0.891047952846048,-0.800919509200952,1.30120527832276,0.985015599520082,-0.777413990928585,-0.610913333737392,-0.203924976596548,-0.265260427028749
"25",-133.375,58.375,-1.2060466114925,3.03324668234142,-0.380115274669169,-1.17836246033094,-0.467347919418556,-1.08554213278141,0.677105957428874,0.0558519184540564,-1.64709046926807,0.65651425596907,-0.549767335140375,-0.879179023031332
"26",-134.625,59.125,-1.11756684808779,1.61170566700714,-0.380126886974264,-1.19019646700786,-0.365406211336979,-1.10968423031725,-0.950405328378765,0.258569475199139,-1.88849046392889,0.0638187287296846,-0.543591578737807,-0.879179023031332
"27",-145.125,65.125,-1.28386847396166,-0.682109159132047,-0.380124034747635,-1.18992124980767,1.13590362428494,-1.06521194538281,0.07380524575221,2.49892741020822,-2.23535914856269,-1.01117950561752,-0.716512758009721,-0.525700190850904
"28",-145.375,63.125,-1.3759731106171,1.4557377115046,-0.380130450678483,-1.1084203554313,1.26032468178409,-1.10587232018001,0.649822260515038,1.64393013509181,-2.15033514348805,-0.947582751035422,-0.697985488802016,0.2476364256244
"29",-146.375,64.875,-1.15419559246826,0.00979824750152336,-0.38012138277937,-0.949072642738102,0.740513144179762,-1.06521194538281,0.106857102179604,2.37534943628897,-1.9649489358868,-0.939633156712661,-0.722688514412289,-0.314139613159079
"30",-146.625,65.125,-1.16887671634169,0.131798605442686,-0.380046767254687,-1.05263107672155,0.642191307570226,-1.06521194538281,0.288935455408152,2.22006401990811,-2.04654279705521,-0.929142970389839,-0.710337001607152,-0.1090763400418
"31",-146.875,63.125,-1.39930505011437,0.320140305913846,-0.380130992148738,-1.13486863493354,0.949928180419635,-1.11095486702966,-0.325822246211092,1.3566166685172,-2.07456237661841,-0.898410002647201,-0.735040027217426,0.184976063055359
"32",-147.875,63.375,-1.44719361899791,0.222960205183384,-0.380130992148738,-1.1599708658807,0.573157261032104,-1.11095486702966,0.0184768124146878,1.48943055301298,-2.04399656849963,-0.849073345097683,-0.741215783619994,0.137807808457151
"33",-148.625,65.375,-1.06599426284149,-0.188303167698847,-0.380097593211284,-1.10839552847262,0.544614168295606,NA,0.349774587142984,2.59969110875668,-1.98037236655005,-0.96536689503583,-0.735040027217426,-0.0480581012176536
"34",-148.875,61.125,-1.53951645994568,3.61051845913633,-0.378410769232835,-0.96639771388212,-0.473701032291913,-1.19227561662408,0.165096101437121,-0.0824278102420611,-1.8081824000638,-0.360460135280033,-0.753567296425131,-0.426630026121114
"35",-149.875,67.125,-1.25458113057578,NA,-0.380126021332705,-1.20295230965526,0.452055207657978,-1.14653269497722,-0.201167022012302,2.26225846753429,-2.22306650105029,-0.924225695551018,-0.833852129658519,0.203646354121262
"36",-155.125,58.625,-1.63139064801111,1.85474032925563,-0.380127797497784,-1.23088146895427,-0.603229676005847,-1.18719306977443,1.22311707260331,0.129845410004072,-1.32870407171162,-0.195403609856897,-0.846203642463656,-0.707392592982886
"37",-159.375,62.875,-1.59364328779332,-0.309170682813643,-0.380130992148738,-1.23088142727651,0.385297859115052,-1.16686288237583,0.646799475083569,1.82708824794345,-1.79143491001781,-0.783345771418756,-0.840027886061088,-0.221296443172169
"38",-2.125,40.875,0.157629426865261,-0.62059407996402,-0.375198194177265,-0.640513301214191,-0.457671176289233,-0.700539208920344,0.480093153074719,0.673555487371639,-0.286391050547491,-0.605750195156622,-0.679458219594311,-0.318676944312359
"39",-2.375,52.125,-0.56440804566364,-0.209124227946061,0.317221812636224,1.49920978221311,-1.09206537959916,-1.16686288237583,1.08205303919482,-0.519636003748444,-0.415644604153657,-0.234659853986843,-0.883258180879066,0.178063358778762
"40",-2.375,52.375,-0.580014773675636,0.198740013220274,0.427056103327238,1.56451613697174,-1.05170167605487,-1.16305097223859,1.09706306703772,-0.568339977480775,-0.451211162312618,-0.130905354887683,-0.883258180879066,0.178063358778762
"41",-2.625,52.125,-0.609521867648654,-0.384873429333383,0.476559177776843,1.36813880830637,-1.05782595795296,-1.16686288237583,0.808548966695192,-0.474025541900765,-0.422362809283085,-0.360050362376799,-0.945015744904749,0.178063358778762
"42",-2.625,52.375,-0.569052895008113,-0.333708582163122,-0.119488971196547,0.966067200329781,-1.01929695640674,-1.16559224566341,0.951842979975574,-0.533418223161885,-0.484430432983037,-0.126971535016618,-0.938839988502181,0.178063358778762
