"","x","y","poligons","aet","Bird_richness","shannon_diversity","precipitation","Prec.seas.","rad","Human_footprint","Ec.Het","Humanpopdens","Tempseas","Temperature"
"413",30.625,36.875,306123,720.980010025052,123,1.70423051905575,700.500000000004,76.4289460182192,75,20.2891441265058,0.0329063966095181,546.846923828125,746.561546325685,17.0286039710046
"414",30.625,37.125,304683,806.092440557712,124,1.45570864120643,621.500000000007,67.6797122955329,75,12.5601629446203,0.0328822556207974,285.855895996094,754.022533416748,15.2413846850397
"415",33.625,39.875,288855,396.606781832867,98,0.796760680283466,417.437500000001,44.0394394397736,75.5,14.6102454707104,0.0213289823388205,54.844856262207,812.472393035887,10.9386875629425
"416",33.875,67.875,127576,291.786840713088,34,1.49256365931061,556.8125,36.1118543148041,46,4.59138520093667,NA,13.7595300674438,919.123935699462,-1.90129619836808
"417",33.875,68.125,126136,327.249955318582,31,1.05745683184637,524.125,36.8344399929046,46,3.83391628923926,NA,18.9403686523438,937.291973114014,-1.573979139328
"418",34.125,67.875,127577,319.544688511098,33,1.43278196642261,523.562499999999,36.2864923477172,46,3.06158186423531,NA,6.1670880317688,925.316696166992,-1.43490558117625
"419",34.125,68.125,126137,326.652772183569,30,0.981452767809595,516.374999999999,36.8076956272126,46,1.25676733355055,NA,1.95630013942719,926.945831298829,-1.52589457482098
"420",35.125,38.125,298941,386.43429515041,121,0.717857816443366,422.125000000004,49.6897654533387,78.4375,10.8887681491595,0.0339974266992977,28.0497531890869,787.245346069337,8.97774335741986
"421",35.375,37.875,300382,465.928217398916,113,0.601351571400899,537.124999999999,51.8900389671326,78.6875,8.76150831004476,0.0465339815744159,15.272780418396,786.762599945069,7.19405669719013
"422",35.375,38.625,296062,426.916301795421,112,0.889273575775071,431.000000000004,47.7978119850159,77.5625,13.529586836162,0.0303799856452494,146.930221557617,806.252170562743,7.23941463232021
"423",36.875,55.625,198148,464.928772655188,67,1.38513395380691,639.375,34.2634239196777,52,24.9860391688836,0.0179476618465172,210.813980102539,965.380260467529,4.59521868824959
"424",39.125,55.875,196717,534.419952695962,69,1.12675742886202,624.187499999999,34.6834533214569,53,16.3297359225693,0.0193734639346138,147.442245483398,1087.47886657715,4.99359184503554
"425",4.375,51.125,223938,506.459581563302,60,1.59196134144773,788.3125,13.3248012065887,50.25,33.714829455969,0.0725734490237109,1135.41918945312,548.40905380249,10.4317633509636
"426",4.625,43.625,267139,910.554355361366,101,1.85198621391856,697.749999999999,39.4408519268035,65.75,19.8122335197862,0.0768509630677333,79.7588653564453,630.065200805665,14.9330298304558
"427",4.625,48.375,239779,607.476013908573,67,1.2449202339859,768.375000000003,10.0632452964784,55.75,12.6262584189217,0.0377844400148603,22.3436298370361,600.418151855469,10.4818379282951
"428",40.125,44.125,264401,691.646245671464,91,0.721096450336885,1307,16.7218844890594,69.5,7.10573739359131,0.0451771416800021,20.1956615447998,732.03003692627,7.97297659516338
"429",40.625,44.125,264403,676.393950959733,91,0.760414161537648,1095.62499999999,17.8004066944125,69.9375,7.55405439289798,0.0447707094955041,18.7400302886963,758.324157714844,8.44380015134812
"430",43.875,40.375,286016,397.317618376141,109,0.292695510407745,406.812499999999,47.197458744049,72.1875,11.9917165185948,0.0403278403110607,39.9205436706543,971.1678276062,7.33698698878292
"431",44.125,40.375,286017,426.531106030933,120,0.248928636147735,526.562499999993,42.1638765335084,73.0625,11.412735534763,0.0463224362083081,26.9693412780762,912.471961975099,4.36621867120289
"432",44.625,40.375,286019,500.302124267175,119,1.07342119728837,449.500000000002,47.0392100811005,74.25,17.3150369383634,0.0390231045133513,207.217407226562,925.622051239014,6.70639851689324
"433",44.625,40.625,284579,574.422015987494,99,1.11095719904394,611.187499999996,47.0999562740327,73.25,14.3460980285642,0.0441923350142343,40.851245880127,836.199413299562,3.44577871263037
"434",44.875,41.125,281700,645.72319202856,109,1.38409198314173,572.312500000001,51.5142071247102,73.3125,9.81953734223746,0.0402318029835389,51.4248275756836,756.885887145995,9.19449555873869
"435",45.125,43.625,267301,460.333982918193,86,0.869046004239301,465.937499999999,38.7093534469604,62.25,14.6452432542578,0.0302186690291117,42.8847427368164,990.891838073731,10.5716438889504
"436",46.125,38.875,294665,375.192081855761,134,0.387790836043842,337.1875,47.4388480186462,77.1875,10.069310681222,0.0531124226719312,35.9845504760742,972.486698150633,10.7712329030038
"437",46.125,39.375,291785,557.620320530774,127,0.51196978528281,515.687500000002,39.9206466674806,77,11.8770139985956,0.0547283389590243,11.4269161224365,896.144691467282,6.09043157100686
"438",46.125,40.125,287465,568.61290989336,119,0.982550032615184,608.1875,45.6109211444857,76.25,9.96777638930105,0.0381557859439328,24.6955718994141,790.096405029295,5.64532688260091
"439",46.375,39.125,293226,726.985679475501,130,1.10071248151866,474.0625,45.0644397735596,76.75,10.2135658137184,0.0660841093027481,68.9301223754883,862.336898803709,8.50325980782521
"440",46.625,40.125,287467,720.404624390788,115,1.44622387726198,578.999999999994,53.9024755954742,75.5,9.17954261381813,0.0471031310105824,50.2932929992676,756.157440185548,9.56107822060601
"441",46.875,50.875,225548,460.713946976758,70,0.728792067373031,368.6875,22.1454716920853,55,11.3203011435657,0.0181002383878219,12.8638715744019,1371.80660247803,6.67285487055779
"442",47.125,50.875,225549,417.169028359803,68,0.68620323048974,367.6875,22.2819213867187,55,11.7611638159067,0.0146835705304071,12.6513147354126,1370.18880462646,6.66418415307997
"443",5.875,52.125,218184,537.554883423482,67,1.40465490772634,861.937500000001,15.3782817125321,48.5,23.7667150834384,0.0670507000288681,496.769622802734,560.492961883545,9.3848021030426
"444",59.875,57.375,188160,489.116335611834,78,0.530488528138941,564.374999999999,48.7902252674104,54.1875,11.5764628485277,0.0347611656473858,53.5496559143066,1127.67457580566,1.21925784274938
"445",6.375,46.625,249866,642.245748427117,66,1.92082674124001,1322.68749999999,9.50820744037627,60.5,18.8095785313408,0.0796699245541822,79.0353851318359,629.950130462647,7.51188153028499
"446",6.375,52.875,213866,558.482077933527,63,1.38958547502071,849.0625,15.7516567111015,47.75,15.2839822676551,0.0503158579103799,108.242027282715,549.539180755615,9.1808021068573
"447",6.625,46.625,249867,661.859756296893,68,1.71801812674986,1187.25,11.8664446473122,61,22.9097915364439,0.108885650053344,566.998718261719,653.107891082763,9.26141822338096
